t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
404	0.0587594	0.169639	0.369352
405	0.0589049	0.170052	0.370234
406	0.0590503	0.170464	0.371116
407	0.0591958	0.170876	0.371997
408	0.0593412	0.171289	0.372878
409	0.0594866	0.171701	0.373759
410	0.0596321	0.172113	0.37464
411	0.0597775	0.172525	0.37552
412	0.059923	0.172937	0.3764
413	0.0600684	0.173349	0.37728
414	0.0602139	0.173761	0.37816
415	0.0603593	0.174173	0.379039
416	0.0605047	0.174585	0.379919
417	0.0606502	0.174996	0.380798
418	0.0607956	0.175408	0.381677
419	0.0609411	0.17582	0.382555
420	0.0610865	0.176231	0.383433
421	0.061232	0.176643	0.384311
422	0.0613774	0.177054	0.385189
423	0.0615229	0.177466	0.386067
424	0.0616683	0.177877	0.386944
425	0.0618137	0.178288	0.387822
426	0.0619592	0.1787	0.388698
427	0.0621046	0.179111	0.389575
428	0.0622501	0.179522	0.390452
429	0.0623955	0.179933	0.391328
430	0.062541	0.180344	0.392204
431	0.0626864	0.180755	0.393079
432	0.0628319	0.181166	0.393955
433	0.0629773	0.181577	0.39483
434	0.0631227	0.181988	0.395705
435	0.0632682	0.182398	0.39658
436	0.0634136	0.182809	0.397454
437	0.0635591	0.18322	0.398329
438	0.0637045	0.18363	0.399203
439	0.06385	0.184041	0.400076
440	0.0639954	0.184451	0.40095
441	0.0641409	0.184862	0.401823
442	0.0642863	0.185272	0.402696
443	0.0644317	0.185682	0.403569
444	0.0645772	0.186093	0.404442
445	0.0647226	0.186503	0.405314
446	0.0648681	0.186913	0.406186
447	0.0650135	0.187323	0.407058
448	0.065159	0.187733	0.407929
449	0.0653044	0.188143	0.408801
450	0.0654498	0.188553	0.409672
451	0.0655953	0.188963	0.410543
452	0.0657407	0.189372	0.411413
453	0.0658862	0.189782	0.412284
454	0.0660316	0.190192	0.413154
455	0.0661771	0.190601	0.414024
456	0.0663225	0.191011	0.414893
457	0.066468	0.19142	0.415763
458	0.0666134	0.19183	0.416632
459	0.0667588	0.192239	0.417501
460	0.0669043	0.192649	0.418369
461	0.0670497	0.193058	0.419237
462	0.0671952	0.193467	0.420106
463	0.0673406	0.193876	0.420973
464	0.0674861	0.194285	0.421841
465	0.0676315	0.194694	0.422708
466	0.067777	0.195103	0.423575
467	0.0679224	0.195512	0.424442
468	0.0680678	0.195921	0.425309
469	0.0682133	0.19633	0.426175
470	0.0683587	0.196738	0.427041
471	0.0685042	0.197147	0.427907
472	0.0686496	0.197556	0.428773
473	0.0687951	0.197964	0.429638
474	0.0689405	0.198373	0.430503
475	0.0690859	0.198781	0.431368
476	0.0692314	0.199189	0.432232
477	0.0693768	0.199598	0.433096
478	0.0695223	0.200006	0.43396
479	0.0696677	0.200414	0.434824
480	0.0698132	0.200822	0.435688
481	0.0699586	0.20123	0.436551
482	0.0701041	0.201638	0.437414
483	0.0702495	0.202046	0.438277
484	0.0703949	0.202454	0.439139
485	0.0705404	0.202862	0.440001
486	0.0706858	0.203269	0.440863
487	0.0708313	0.203677	0.441725
488	0.0709767	0.204085	0.442586
489	0.0711222	0.204492	0.443447
490	0.0712676	0.2049	0.444308
491	0.0714131	0.205307	0.445169
492	0.0715585	0.205714	0.446029
493	0.0717039	0.206122	0.446889
494	0.0718494	0.206529	0.447749
495	0.0719948	0.206936	0.448609
496	0.0721403	0.207343	0.449468
497	0.0722857	0.20775	0.450327
498	0.0724312	0.208157	0.451186
499	0.0725766	0.208564	0.452044
500	0.0727221	0.208971	0.452903
501	0.0728675	0.209378	0.453761
502	0.0730129	0.209785	0.454618
